,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
활동,업무수행,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,연수/교육/연구,전통문화체험,유흥/오락,드라마/영화 촬영지 방문,스포츠활동,뷰티관광,의료관광,레포츠활동,시티투어 버스 이용,공연 민속행사 축제참가 및 관람,직업적 스포츠활동,온천 스파,카지노,미팅 회의 학술대회 박람회 등 참가,시찰,휴양 휴식,테마파크,기타
1회,7.9,73.9,45.5,37.7,32.6,14.2,4.1,6.3,11.8,0,2.5,2,0.7,2.5,7.6,6,0.5,5,1.9,4.8,1.6,7,9.7,1.3
2회,12.4,71.2,49.2,28.3,24.8,9.9,5.6,4.9,11.9,0,2.1,3.8,1.2,2.9,7.7,7,0.5,4.8,2.1,6.4,1.3,9.3,9.6,1.4
3회,13.6,71.8,52,24.8,20.3,7,4.5,4.9,14.1,0,2,4.4,2.6,2.8,6.9,5.4,0.6,4.4,2.5,6.9,1.5,10.3,8.8,2.6
4회 이상,25.4,65.6,48.8,14.1,13.7,3.3,5.3,2.6,11.4,0,1.5,6.2,1.8,1.7,4.3,9.4,0.6,4.4,3,14.2,2.7,6.7,3.8,4.1
,,,,,,,,,,,,,,,,,,,,,,,,
,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
활동,업무수행,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,연수/교육/연구,전통문화체험,유흥/오락,드라마/영화 촬영지 방문,스포츠활동,뷰티관광,의료관광,레포츠활동,시티투어 버스 이용,공연 민속행사 축제참가 및 관람,직업적 스포츠활동,온천 스파,카지노,미팅 회의 학술대회 박람회 등 참가,시찰,휴양 휴식,테마파크,기타
1회,6.2,76.9,49.3,33.5,30.2,13.8,4.7,6,16.9,0,2.2,2.3,0.7,2.3,5.9,8,0.3,5.1,2.2,2.9,1.1,7.2,12.3,0.6
2회,10,78.5,54.8,27.2,22.5,8.5,4.1,4,13.6,0,2.8,4.1,1.6,1.8,5.7,6.9,0.3,5.4,2.8,4.4,1.1,10.6,10.7,1.5
